UPE | Compare Intel® Products
12/30/2024 09:26:37 AM
,Intel® Silicon Photonics 100G CWDM4 QSFP28 Optical Transceiver

Essentials
Product Collection,Intel® Silicon Photonics Pluggable Optical Transceivers
Marketing Status,Launched
Launch Date,Q3'17
Additional Features,• Compliant with CWDM4 MSA optical interface specification |  with reach up to 500 m |  2 km |  or 10 km depending on version• Compact QSFP28 form factor for high faceplate density in networking equipment  • Compatibility with single-mode fiber connectors and cable infrastructures• CWDM wavelength grid (1271 |  1291 |  1311 |  and 1331 nm) for uncooled operation• Electrical interface compliant with IEEE 802.3bm CAUI-4 standard• 3.5 W maximum power dissipation• Operating temperature range: 500m version: 15 to 55oC; 2 km and 10 km versions: 0 to 70oC• Full module diagnostics and control through I2C |  compliant with SFF-8636 spec

Supplemental Information
Description,It is a small form-factor |  high speed |  and low power consumption product |  targeted for use in optical interconnects for data communications applications. The high bandwidth module supports 100GbE optical links over single-mode fiber.
Product Brief,View now
Additional Information,View now
